"filename", "language", "JSON with Comments", "JSON", "CSS", "TypeScript", "HTML", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\testimonio\testimonio.component.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\testimonio\testimonio.component.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 54
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\testimonio\testimonio.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\testimonio\testimonio.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\assets\imgs\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 53, 0, 5, 58
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\styles.css", "CSS", 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 32, 11838, 257, 507, 553, 14, 53, 9, 228, 13491
